phone,calls_made,unique_b_parties,total_duration_s,calls_received,unique_a_parties,total_calls
+917317979561,415.0,87.0,32271.0,60,6,475.0
+918623600490,353.0,60.0,29085.0,93,7,446.0
+919060847311,318.0,61.0,24644.0,110,8,428.0
+919729190007,303.0,54.0,24208.0,122,8,425.0
+916094771856,234.0,50.0,17993.0,190,11,424.0
+918361562235,279.0,53.0,19336.0,143,8,422.0
+918238474652,140.0,31.0,10514.0,281,15,421.0
+916447608719,358.0,71.0,31430.0,56,4,414.0
+918051846850,345.0,66.0,27474.0,66,6,411.0
+918878045823,367.0,59.0,30769.0,39,2,406.0
+919132880663,232.0,39.0,18696.0,151,14,383.0
+919366512921,166.0,31.0,12031.0,212,17,378.0
+917421153051,233.0,42.0,18815.0,145,11,378.0
+916237083180,268.0,53.0,21106.0,110,7,378.0
+918529196103,213.0,49.0,16821.0,160,13,373.0
+916058454908,269.0,45.0,20922.0,100,9,369.0
+917955429460,207.0,42.0,20623.0,158,11,365.0
+919951957150,197.0,47.0,18426.0,166,12,363.0
+917169308408,150.0,34.0,9522.0,206,14,356.0
+919587227820,238.0,36.0,17862.0,113,11,351.0
+918308817348,290.0,55.0,24530.0,59,6,349.0
+918177584112,284.0,52.0,21508.0,63,7,347.0
+918591086181,214.0,44.0,16337.0,133,11,347.0
+916369992539,218.0,35.0,15916.0,128,10,346.0
+917525780109,249.0,45.0,19918.0,97,8,346.0
+917003035066,189.0,34.0,13674.0,149,11,338.0
+917796810587,121.0,26.0,10122.0,216,18,337.0
+918269769851,199.0,46.0,13548.0,138,9,337.0
+918402956877,239.0,62.0,17866.0,97,9,336.0
+916607071821,205.0,44.0,17641.0,131,9,336.0
+916685600019,144.0,34.0,12447.0,190,14,334.0
+916015338131,210.0,43.0,18191.0,122,8,332.0
+919536599668,240.0,40.0,19103.0,92,8,332.0
+918097181152,286.0,47.0,23454.0,45,6,331.0
+918925061061,186.0,30.0,13065.0,145,10,331.0
+917635826849,181.0,33.0,18675.0,150,14,331.0
+919329674437,220.0,47.0,21780.0,110,10,330.0
+918221059249,221.0,46.0,16141.0,108,11,329.0
+918865231522,209.0,42.0,17117.0,120,10,329.0
+916653764109,150.0,27.0,12336.0,179,12,329.0
+916944187802,83.0,24.0,7354.0,245,11,328.0
