Transaction_ID,src,dst,Transaction_Amount,risk_score,risk_band,is_suspicious_gt
TXN2503061VWCIM,100000163,377444832313,100253.79,100.0,CRITICAL,1
ATM250208QLUIMZ,100000211,265984004501,116182.39,100.0,CRITICAL,1
TXN250108WDGWBI,100000055,259060969500,43551.93,100.0,CRITICAL,1
ATM2503144PE7G1,100000020,903496834489,53701.31,100.0,CRITICAL,1
TXN25010509EREB,100000184,261905164467,346250.63,100.0,CRITICAL,1
TXN250215CEPKA4,100000048,934650547896,48650.92,100.0,CRITICAL,1
TXN2502202YKNBE,100000021,369414829563,446411.37,100.0,CRITICAL,1
TXN250210356P3S,100000332,725308753804,12305.95,100.0,CRITICAL,1
ATM250115LRTWY7,100000347,531550421756,24385.09,100.0,CRITICAL,1
TXN250211GHFZIL,100000070,365660740440,6111.99,100.0,CRITICAL,1
TXN250108YW0L9C,100000055,259060969500,37134.11,100.0,CRITICAL,1
ATM250213Z8ZMW4,100000186,664288096071,9601.35,100.0,CRITICAL,1
TXN250210RGKUOK,100000332,725308753804,10427.03,100.0,CRITICAL,1
ATM2501153QT9M8,100000347,531550421756,34929.78,100.0,CRITICAL,1
ATM2502138JY88N,100000186,664288096071,15718.24,100.0,CRITICAL,1
ATM250213DVYWR3,100000186,664288096071,40129.04,100.0,CRITICAL,1
TXN250216QH7L00,100000265,970098780030,217170.56,100.0,CRITICAL,1
ATM250209STMANI,100000053,754312588160,39662.65,100.0,CRITICAL,1
TXN250202DGBQ4K,100000344,235214583860,85235.9,100.0,CRITICAL,1
TXN250108G68IEM,100000055,259060969500,42329.03,100.0,CRITICAL,1
TXN2503072IDPU6,100000281,406679487280,262909.07,100.0,CRITICAL,1
ATM250109ATETMA,100000020,668382499938,39882.01,100.0,CRITICAL,1
TXN250130EPSYNA,100000052,659231358376,34423.11,100.0,CRITICAL,1
TXN250104MI5YRW,100000377,775764849956,36518.03,100.0,CRITICAL,1
TXN2501283HKH13,100000037,409428772945,47809.57,100.0,CRITICAL,1
ATM250109RT28U7,100000020,668382499938,3297.82,100.0,CRITICAL,1
TXN250210OFIMI6,100000244,179972772625,458890.25,100.0,CRITICAL,1
TXN250202IXBJ0S,100000344,235214583860,93424.12,100.0,CRITICAL,1
TXN250122LYPLUD,100000287,832365970325,68465.13,100.0,CRITICAL,1
TXN250208G0V8W6,100000159,874835162688,44874.13,100.0,CRITICAL,1
ATM250128E50TJA,100000130,236981961493,85624.06,100.0,CRITICAL,1
ATM2502137R1C5E,100000186,664288096071,79376.71,100.0,CRITICAL,1
ATM250217AJJ1PJ,100000063,931924061298,6615.74,100.0,CRITICAL,1
TXN250127VL67OM,100000350,763273294044,237038.64,100.0,CRITICAL,1
ATM250314NV6EWN,100000020,903496834489,49826.51,100.0,CRITICAL,1
TXN25022322VKAJ,100000221,590378135716,593277.09,100.0,CRITICAL,1
TXN250216TZTQJ5,100000002,103851278347,69768.75,100.0,CRITICAL,1
ATM250213BUFLGD,100000186,664288096071,18015.08,100.0,CRITICAL,1
TXN250202R9UDC5,100000344,235214583860,71393.27,100.0,CRITICAL,1
ATM25011519J1BI,100000347,531550421756,27695.28,100.0,CRITICAL,1
TXN250202X6NOOB,100000297,436444218036,31274.19,100.0,CRITICAL,1
ATM2502038YYUQQ,100000145,191786884042,105148.45,100.0,CRITICAL,1
TXN2502156GJ9EO,100000048,934650547896,39577.81,100.0,CRITICAL,1
ATM250305O3PBC4,100000159,592961327671,388881.15,100.0,CRITICAL,1
TXN250119ROZT4B,100000040,595862621221,3238.07,100.0,CRITICAL,1
TXN250128RUHFKA,100000268,606022275939,57616.23,100.0,CRITICAL,1
TXN250215QLGEK1,100000048,934650547896,29485.71,100.0,CRITICAL,1
TXN2502105C4I4L,100000295,235640798748,30230.67,100.0,CRITICAL,1
TXN250109UIX691,100000302,928837970618,731470.94,100.0,CRITICAL,1
TXN2501099OGAKG,100000350,510926900010,16671.63,100.0,CRITICAL,1
ATM2501281B95RW,100000130,236981961493,46379.76,100.0,CRITICAL,1
ATM250128YKDSZC,100000130,236981961493,77846.82,100.0,CRITICAL,1
ATM2501286D6DVW,100000130,236981961493,84718.47,100.0,CRITICAL,1
TXN2502010RP07Y,100000179,647740114682,90337.93,100.0,CRITICAL,1
TXN250215VHLSUR,100000048,934650547896,51162.09,100.0,CRITICAL,1
TXN250109Q1X047,100000350,510926900010,4044.43,100.0,CRITICAL,1
TXN2502158RDJS2,100000048,934650547896,41788.14,100.0,CRITICAL,1
ATM250128YKOJ2G,100000130,236981961493,85982.7,100.0,CRITICAL,1
ATM2501243NELJ2,100000002,670391327459,84353.73,100.0,CRITICAL,1
TXN2502152GG2UD,100000048,934650547896,56775.31,100.0,CRITICAL,1
ATM250115PKEZU4,100000347,531550421756,13197.74,100.0,CRITICAL,1
TXN250119X7B9NY,100000040,595862621221,2797.14,100.0,CRITICAL,1
TXN25022182S2OO,100000364,990797271464,101777.76,100.0,CRITICAL,1
ATM250129AE9487,100000103,551940240349,575203.93,100.0,CRITICAL,1
TXN250108EOC1CG,100000357,319598531138,272766.07,100.0,CRITICAL,1
TXN2502026YZ5WK,100000344,235214583860,92905.59,100.0,CRITICAL,1
TXN250329TCPOFD,100000247,606377498309,319280.41,100.0,CRITICAL,1
ATM2502083BIR3R,100000211,265984004501,112754.93,100.0,CRITICAL,1
ATM25020377E0K1,100000145,191786884042,102519.9,100.0,CRITICAL,1
ATM25020995SA6J,100000068,867794461876,120481.84,100.0,CRITICAL,1
TXN250226UCCCYI,100000176,188656467760,198468.19,100.0,CRITICAL,1
TXN250128DTHRT7,100000037,409428772945,54615.77,100.0,CRITICAL,1
TXN250119VQMRQS,100000040,595862621221,5386.62,100.0,CRITICAL,1
ATM250203MQJ5DU,100000145,191786884042,88620.21,100.0,CRITICAL,1
ATM250128120GQO,100000130,236981961493,83128.21,100.0,CRITICAL,1
ATM250208605TP1,100000211,265984004501,107751.85,100.0,CRITICAL,1
TXN250119NNIIO6,100000040,595862621221,5087.89,100.0,CRITICAL,1
ATM250330QYWLQ1,100000345,879454067994,366122.24,100.0,CRITICAL,1
TXN250202BJWJVZ,100000297,436444218036,22224.61,100.0,CRITICAL,1
TXN250210RV7175,100000194,652189692515,10325.62,100.0,CRITICAL,1
TXN250220SS0FFL,100000350,510926900010,30349.41,100.0,CRITICAL,1
TXN250306O7FG1M,100000163,377444832313,110175.48,100.0,CRITICAL,1
TXN250103GDG1W7,100000201,312002509425,112547.37,100.0,CRITICAL,1
TXN2502088NKOW6,100000005,896905768464,125269.04,100.0,CRITICAL,1
TXN250214KJFNFB,100000303,867849323568,133267.86,100.0,CRITICAL,1
TXN2501047A5BV9,100000377,775764849956,4907.35,100.0,CRITICAL,1
TXN250220CDO7JE,100000350,510926900010,32151.71,100.0,CRITICAL,1
TXN25022051JEGX,100000350,510926900010,41968.46,100.0,CRITICAL,1
TXN250123FNHRB5,100000156,721050643757,72327.62,100.0,CRITICAL,1
TXN250103VQTZW8,100000201,312002509425,100943.02,100.0,CRITICAL,1
TXN250201AT09SP,100000312,212728102763,43053.01,100.0,CRITICAL,1
TXN250114DDA7ZQ,100000262,934676997354,146766.85,100.0,CRITICAL,1
TXN250114LRJEC8,100000139,437583983457,211380.42,100.0,CRITICAL,1
TXN250201MYGDS5,100000312,212728102763,35566.55,100.0,CRITICAL,1
TXN250202YJGLEQ,100000297,436444218036,32296.66,100.0,CRITICAL,1
TXN250216AOFZ7D,100000002,103851278347,82095.88,100.0,CRITICAL,1
ATM250123QTZ3L1,100000354,364911456494,62288.84,100.0,CRITICAL,1
TXN25012809QB4C,100000037,409428772945,51504.92,100.0,CRITICAL,1
TXN2501235M8CW9,100000156,721050643757,146209.9,100.0,CRITICAL,1
TXN250114QUU5WF,100000262,934676997354,105230.55,100.0,CRITICAL,1
TXN250114YAQXJZ,100000262,934676997354,117479.39,100.0,CRITICAL,1
TXN2501146PX15E,100000262,934676997354,75644.74,100.0,CRITICAL,1
TXN250206OWJ2C0,100000150,346953510698,98574.19,100.0,CRITICAL,1
TXN250114HWEMTX,100000262,934676997354,100995.68,100.0,CRITICAL,1
TXN250114AMXTAB,100000262,934676997354,143538.35,100.0,CRITICAL,1
TXN250114PIS0MW,100000262,934676997354,65972.06,100.0,CRITICAL,1
TXN2501147E3GQF,100000262,934676997354,94572.65,100.0,CRITICAL,1
TXN250202MO1ZN9,100000297,436444218036,40004.15,100.0,CRITICAL,1
TXN2502022LPOT7,100000297,436444218036,27774.79,100.0,CRITICAL,1
TXN250201VMBURE,100000242,128042145101,67821.47,100.0,CRITICAL,1
TXN250214F3U3Y5,100000303,867849323568,104505.28,100.0,CRITICAL,1
TXN2503064R74C5,100000163,377444832313,93332.13,100.0,CRITICAL,1
TXN250117SRLPZB,100000105,377444832313,9117.0,100.0,CRITICAL,1
TXN250209XW0OZQ,100000362,529978141455,228188.69,100.0,CRITICAL,1
TXN250206RZC6SZ,100000150,346953510698,61295.98,100.0,CRITICAL,1
TXN250201IRO0NU,100000242,128042145101,80343.68,100.0,CRITICAL,1
TXN250306XHF9O8,100000163,377444832313,88881.39,100.0,CRITICAL,1
TXN250114F46RQW,100000288,239630627541,386498.72,100.0,CRITICAL,1
TXN250202QMSUE5,100000297,436444218036,35326.35,100.0,CRITICAL,1
TXN250202ETPVHA,100000297,436444218036,33488.9,100.0,CRITICAL,1
TXN250104LTGE5E,100000377,775764849956,23383.81,100.0,CRITICAL,1
TXN250107WV6989,100000025,527174909207,64599.16,100.0,CRITICAL,1
TXN250122XWPID8,100000366,309526507468,194347.71,100.0,CRITICAL,1
TXN250107424A70,100000025,527174909207,57726.61,100.0,CRITICAL,1
TXN250107BD55XQ,100000025,527174909207,76324.86,100.0,CRITICAL,1
ATM250205P6D45F,100000006,867849323568,10100.58,100.0,CRITICAL,1
TXN250216ERPIQ9,100000002,103851278347,73360.31,100.0,CRITICAL,1
TXN250109N89OJE,100000314,671854755399,266579.36,100.0,CRITICAL,1
TXN250109AXPH9R,100000331,242849205698,163784.59,100.0,CRITICAL,1
TXN250206EX1SVU,100000150,346953510698,60053.55,100.0,CRITICAL,1
TXN250201JEVKJH,100000312,212728102763,32542.94,100.0,CRITICAL,1
TXN2502060VH5CR,100000150,346953510698,89052.36,100.0,CRITICAL,1
ATM25011051OOOI,100000182,903196776708,396506.79,100.0,CRITICAL,1
TXN250128UVKGR2,100000188,182479908159,95847.29,100.0,CRITICAL,1
TXN250128302RHM,100000037,409428772945,43983.87,100.0,CRITICAL,1
TXN2501142D7BLD,100000262,934676997354,102292.55,100.0,CRITICAL,1
TXN250214JYMNUR,100000303,867849323568,75181.88,100.0,CRITICAL,1
TXN2501074PGSH7,100000025,527174909207,66010.96,100.0,CRITICAL,1
TXN250306AKT42I,100000163,377444832313,143469.38,100.0,CRITICAL,1
TXN250114T1NN61,100000262,934676997354,75379.27,100.0,CRITICAL,1
TXN250104TEEVB1,100000377,775764849956,14295.25,100.0,CRITICAL,1
TXN250208K8724J,100000005,896905768464,164628.51,100.0,CRITICAL,1
TXN250208E7HPJR,100000005,896905768464,109196.29,100.0,CRITICAL,1
TXN250201H03EKC,100000312,212728102763,59245.22,100.0,CRITICAL,1
TXN250214R1LSV9,100000303,867849323568,102509.5,100.0,CRITICAL,1
TXN250109MLKQ7U,100000060,722699729557,4555.96,99.9,CRITICAL,1
TXN250324FUDL1X,100000104,480661712892,114553.73,99.9,CRITICAL,1
ATM250115UQ9XWL,100000217,369677419388,392183.63,99.9,CRITICAL,1
ATM250124ZKWM4U,100000002,670391327459,43679.54,99.9,CRITICAL,1
TXN250315XSAOW5,100000021,660047925879,41076.28,99.9,CRITICAL,1
ATM250320AGGB4E,100000235,551940240349,4948.56,99.9,CRITICAL,1
