Transaction_ID,Date,Timestamp,Sender_Customer_ID,Sender_Customer_Name,Receiver_Account_Number,Transaction_Amount,ml_probability,risk_score,risk_band,reason_1,reason_2,reason_3,rules_fired,split,is_suspicious_gt
TXN250217V4TV4H,2025-02-17,12:08:29,100000272,Sarthak Malhotra,800249842793,167949.54,0.9996,100.0,CRITICAL,amount_vs_customer_median (+3.63),transaction_amount (+3.11),receiver_historical_count (+2.66),,train,1
TXN2503051MGD0S,2025-03-05,13:37:13,100000069,Ananya Banerjee,824669129522,279412.05,0.9996,100.0,CRITICAL,amount_vs_customer_median (+3.13),total_call_duration_30m (+3.09),transaction_amount (+2.05),,val,1
ATM250129AE9487,2025-01-29,08:08:48,100000103,Rohan Kulkarni,551940240349,575203.93,1.0,100.0,CRITICAL,total_call_duration_30m (+3.76),amount_vs_customer_median (+3.02),transaction_amount (+2.16),,train,1
TXN250210OFIMI6,2025-02-10,11:52:13,100000244,Arjun Menon,179972772625,458890.25,0.9999,100.0,CRITICAL,total_call_duration_30m (+3.85),amount_vs_customer_median (+3.20),transaction_amount (+2.24),,train,1
ATM250210IHI2MM,2025-02-10,13:32:34,100000072,Ananya Nair,152861978664,217363.98,0.9999,100.0,CRITICAL,amount_vs_customer_median (+3.96),transaction_amount (+3.43),receiver_historical_count (+3.10),,train,1
TXN250328MO277V,2025-03-28,15:04:16,100000056,Vikram Agarwal,670391327459,628101.99,0.9999,100.0,CRITICAL,total_call_duration_30m (+3.86),amount_vs_customer_median (+3.34),transaction_amount (+2.38),,test,1
TXN250210RV7175,2025-02-10,19:40:42,100000194,Divya Iyer,652189692515,10325.62,0.9998,100.0,CRITICAL,total_call_duration_30m (+3.85),receiver_historical_count (+2.38),customer_history_count (+1.25),,train,1
ATM250305O3PBC4,2025-03-05,19:16:24,100000159,Rahul Kulkarni,592961327671,388881.15,1.0,100.0,CRITICAL,amount_vs_customer_median (+4.04),receiver_historical_count (+3.41),transaction_amount (+3.33),,val,1
TXN25022322VKAJ,2025-02-23,18:01:55,100000221,Ananya Reddy,590378135716,593277.09,0.9999,100.0,CRITICAL,total_call_duration_30m (+3.89),amount_vs_customer_median (+3.29),transaction_amount (+2.21),,val,1
ATM250304Y8OYPY,2025-03-04,13:45:20,100000218,Ananya Pandey,962154168448,762726.79,0.9998,100.0,CRITICAL,amount_vs_customer_median (+4.22),transaction_amount (+3.63),receiver_historical_count (+1.51),,val,1
TXN2501116OJM8T,2025-01-11,06:59:18,100000249,Rohan Kulkarni,775858000572,54024.59,0.9999,100.0,CRITICAL,session_duration_deviation (+2.09),total_call_duration_30m (+1.94),sessions_previous_30m (+1.88),,train,1
TXN250211G1OB78,2025-02-11,13:47:24,100000141,Kaushik Pandey,249075227660,207748.47,0.9999,100.0,CRITICAL,total_call_duration_30m (+4.04),amount_vs_customer_median (+3.09),transaction_amount (+2.15),,train,1
TXN250128ZK17ES,2025-01-28,08:11:03,100000383,Kaushik Rathod,527174909207,238583.7,0.9999,100.0,CRITICAL,total_call_duration_30m (+4.23),amount_vs_customer_median (+3.03),transaction_amount (+2.21),,train,1
TXN250127Z72DRJ,2025-01-27,15:38:34,100000256,Arjun Menon,832167353999,20009.06,0.9997,100.0,CRITICAL,total_call_duration_30m (+4.76),receiver_historical_count (+2.32),max_call_duration_30m (+1.48),,train,1
TXN250127VL67OM,2025-01-27,10:15:24,100000350,Vikram Gupta,763273294044,237038.64,0.9999,100.0,CRITICAL,total_call_duration_30m (+3.93),amount_vs_customer_median (+3.40),transaction_amount (+2.25),,train,1
ATM250127E59G6J,2025-01-27,09:48:59,100000083,Sneha Menon,881015240344,335443.3,0.9999,100.0,CRITICAL,total_call_duration_30m (+4.03),amount_vs_customer_median (+3.04),transaction_amount (+2.18),,train,1
TXN250315XSAOW5,2025-03-15,12:11:09,100000021,Ishaan Joshi,660047925879,41076.28,0.9998,100.0,CRITICAL,total_call_duration_30m (+3.11),receiver_historical_count (+3.09),calls_previous_10m (+1.96),,test,1
TXN250329SC6RLU,2025-03-29,14:17:45,100000019,Ananya Bose,498439240760,19290.21,0.9997,100.0,CRITICAL,imei_novelty (+3.24),nearest_session_before_seconds (+2.32),device_consistency (+1.30),,test,1
TXN250329TCPOFD,2025-03-29,13:57:12,100000247,Meera Bose,606377498309,319280.41,1.0,100.0,CRITICAL,amount_vs_customer_median (+4.10),receiver_historical_count (+3.57),transaction_amount (+3.22),,test,1
TXN2502036O6SUA,2025-02-03,02:36:11,100000357,Manish Nair,319598531138,56687.72,0.9998,100.0,CRITICAL,sessions_previous_30m (+2.17),total_call_duration_30m (+1.74),nearest_session_before_seconds (+1.72),ODD_HOUR,train,1
TXN250110CT4VBA,2025-01-10,11:11:36,100000326,Kaushik Joshi,191004185304,436026.49,0.9999,100.0,CRITICAL,total_call_duration_30m (+3.83),amount_vs_customer_median (+3.37),transaction_amount (+2.59),,train,1
TXN250202C32E48,2025-02-02,16:05:42,100000266,Ananya Bose,236861297649,451762.53,1.0,100.0,CRITICAL,amount_vs_customer_median (+4.12),receiver_historical_count (+3.59),transaction_amount (+3.32),,train,1
TXN25031187WEJB,2025-03-11,20:59:50,100000231,Sneha Iyer,167923256101,221284.02,1.0,100.0,CRITICAL,amount_vs_customer_median (+3.65),transaction_amount (+3.21),receiver_historical_count (+3.05),,test,1
TXN250202XAS4TW,2025-02-02,11:45:30,100000020,Vikram Banerjee,668382499938,25089.79,0.9997,100.0,CRITICAL,nearest_session_before_seconds (+2.12),sessions_previous_30m (+2.07),session_duration_deviation (+1.97),,train,1
